Date,Adj Close,stock_demand,year,month,week,day,dayofweek,week_of_month,is_weekend
2010-04-01,7.134717,7.134717,2010,4,13,1,3,1,0
2010-04-05,7.210913,0.07619599999999949,2010,4,14,5,0,1,0
2010-04-06,7.24266,0.03174700000000019,2010,4,14,6,1,1,0
2010-04-07,7.274709,0.03204899999999977,2010,4,14,7,2,1,0
2010-04-08,7.255055,-0.01965400000000006,2010,4,14,8,3,2,0
2010-04-09,7.31069,0.055635000000000545,2010,4,14,9,4,2,0
2010-04-12,7.325807,0.015117000000000047,2010,4,15,12,0,2,0
2010-04-13,7.33004,0.004233000000000153,2010,4,15,13,1,2,0
2010-04-14,7.428607,0.09856700000000007,2010,4,15,14,2,2,0
2010-04-15,7.52627,0.09766299999999983,2010,4,15,15,3,3,0
2010-04-16,7.480312,-0.04595800000000061,2010,4,15,16,4,3,0
2010-04-19,7.470333,-0.009978999999999516,2010,4,16,19,0,3,0
2010-04-20,7.39535,-0.07498300000000047,2010,4,16,20,1,3,0
2010-04-21,7.837696,0.44234600000000057,2010,4,16,21,2,3,0
2010-04-22,8.056907,0.2192110000000005,2010,4,16,22,3,4,0
2010-04-23,8.18873,0.1318229999999989,2010,4,16,23,4,4,0
2010-04-26,8.148519,-0.04021099999999933,2010,4,17,26,0,4,0
2010-04-27,7.922961,-0.22555800000000037,2010,4,17,27,1,4,0
2010-04-28,7.909658,-0.01330299999999962,2010,4,17,28,2,4,0
2010-04-29,8.122518,0.21285999999999916,2010,4,17,29,3,5,0
2010-04-30,7.894235,-0.22828299999999935,2010,4,17,30,4,5,0
2010-05-03,8.053278,0.1590430000000005,2010,5,18,3,0,1,0
2010-05-04,7.82137,-0.23190800000000067,2010,5,18,4,1,1,0
2010-05-05,7.740036,-0.08133400000000002,2010,5,18,5,2,1,0
2010-05-06,7.445538,-0.2944979999999999,2010,5,18,6,3,1,0
2010-05-07,7.131391,-0.3141470000000002,2010,5,18,7,4,1,0
2010-05-10,7.679564,0.5481730000000002,2010,5,19,10,0,2,0
2010-05-11,7.756062,0.07649799999999995,2010,5,19,11,1,2,0
2010-05-12,7.924473,0.16841099999999987,2010,5,19,12,2,2,0
2010-05-13,7.811693,-0.11277999999999988,2010,5,19,13,3,2,0
2010-05-14,7.674423,-0.13727,2010,5,19,14,4,2,0
2010-05-17,7.686517,0.012094000000000271,2010,5,20,17,0,3,0
2010-05-18,7.630279,-0.056238000000000454,2010,5,20,18,1,3,0
2010-05-19,7.50873,-0.12154899999999991,2010,5,20,19,2,3,0
2010-05-20,7.188839,-0.31989100000000015,2010,5,20,20,3,3,0
2010-05-21,7.326714,0.1378750000000002,2010,5,20,21,4,3,0
2010-05-24,7.460959,0.13424499999999995,2010,5,21,24,0,4,0
2010-05-25,7.414397,-0.04656199999999977,2010,5,21,25,1,4,0
2010-05-26,7.380837,-0.03356000000000048,2010,5,21,26,2,4,0
2010-05-27,7.660213,0.27937600000000007,2010,5,21,27,3,4,0
2010-05-28,7.766943,0.10673000000000066,2010,5,21,28,4,4,0
2010-06-01,7.886376,0.1194329999999999,2010,6,22,1,1,1,0
2010-06-02,7.980712,0.09433599999999931,2010,6,22,2,2,1,0
2010-06-03,7.955618,-0.025093999999999284,2010,6,22,3,3,1,0
2010-06-04,7.73913,-0.216488,2010,6,22,4,4,1,0
2010-06-07,7.587347,-0.151783,2010,6,23,7,0,1,0
2010-06-08,7.538666,-0.048681000000000196,2010,6,23,8,1,2,0
2010-06-09,7.353321,-0.18534499999999987,2010,6,23,9,2,2,0
2010-06-10,7.574345,0.2210239999999999,2010,6,23,10,3,2,0
2010-06-11,7.665052,0.0907070000000001,2010,6,23,11,4,2,0
2010-06-14,7.688336,0.023283999999999416,2010,6,24,14,0,2,0
2010-06-15,7.851907,0.16357100000000013,2010,6,24,15,1,3,0
2010-06-16,8.08049,0.22858299999999954,2010,6,24,16,2,3,0
